Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
4433.663   0.100000    98          1.11
4457.471   0.200000    196         1.25
4491.519   0.300000    294         1.43
4564.735   0.400000    392         1.67
4644.863   0.500000    490         2.00
4686.335   0.550000    539         2.22
4778.751   0.600000    588         2.50
4939.263   0.650000    637         2.86
5516.031   0.700000    686         3.33
10353.663  0.750000    735         4.00
10360.319  0.775000    760         4.44
10415.615  0.800000    784         5.00
10423.295  0.825000    809         5.71
10485.247  0.850000    833         6.67
10545.151  0.875000    858         8.00
10559.487  0.887500    870         8.89
10644.991  0.900000    882         10.00
10660.351  0.912500    894         11.43
10695.167  0.925000    907         13.33
10771.967  0.937500    919         16.00
10877.951  0.943750    925         17.78
12887.039  0.950000    931         20.00
12915.199  0.956250    937         22.86
16360.959  0.962500    943         26.67
16361.471  0.968750    949         32.00
16430.079  0.971875    952         35.56
16430.079  0.975000    956         40.00
16430.591  0.978125    959         45.71
16659.455  0.981250    962         53.33
16659.967  0.984375    965         64.00
16659.967  0.985938    966         71.11
16660.479  0.987500    968         80.00
16660.991  0.989062    969         91.42
19430.399  0.990625    971         106.67
19432.447  0.992188    972         128.01
19432.447  0.992969    973         142.23
19432.447  0.993750    974         160.00
19432.447  0.994531    975         182.85
19432.447  0.995313    975         213.36
19432.447  0.996094    976         256.02
19433.471  0.996484    977         284.41
19433.471  0.996875    977         320.00
19433.471  0.997266    977         365.76
19433.471  0.997656    978         426.62
19433.471  0.998047    978         512.03
19433.471  0.998242    978         568.83
19433.471  0.998437    978         639.80
19433.471  0.998633    979         731.53
19433.471  0.998828    979         853.24
19433.471  0.999023    979         1023.54
19433.471  0.999121    979         1137.66
19433.471  0.999219    979         1280.41
19433.471  0.999316    979         1461.99
19433.471  0.999414    979         1706.48
19443.711  0.999512    980         2049.18
19443.711  0.999561    980         2277.90
19443.711  0.999609    980         2557.54
19443.711  0.999658    980         2923.98
19443.711  0.999707    980         3412.97
19443.711  0.999756    980         4098.36
19443.711  0.999780    980         4545.45
19443.711  0.999805    980         5128.21
19443.711  0.999829    980         5847.95
19443.711  0.999854    980         6849.32
19443.711  0.999878    980         8196.72
19443.711  0.999890    980         9090.91
19443.711  0.999902    980         10204.08
19443.711  0.999915    980         11764.71
19443.711  0.999927    980         13698.63
19443.711  0.999939    980         16393.44
19443.711  0.999945    980         18181.82
19443.711  0.999951    980         20408.16
19443.711  0.999957    980         23255.81
19443.711  0.999963    980         27027.03
19443.711  0.999969    980         32258.06
19443.711  0.999973    980         37037.04
19443.711  0.999976    980         41666.67
19443.711  0.999979    980         47619.05
19443.711  0.999982    980         55555.56
19443.711  0.999985    980         66666.67
19443.711  0.999986    980         71428.57
19443.711  0.999988    980         83333.33
19443.711  0.999989    980         90909.09
19443.711  0.999991    980         111111.11
19443.711  0.999992    980         125000.00
19443.711  0.999993    980         142857.14
19443.711  0.999994    980         166666.67
19443.711  0.999995    980         200000.00
19443.711  0.999996    980         250000.00
19443.711  0.999997    980         333333.33
19443.711  0.999998    980         500000.00
19443.711  0.999999    980         1000000.00
19443.711  1.000000    980         10000000.00
