Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
14851.071  0.100000    26          1.11
15018.495  0.200000    52          1.25
15024.127  0.300000    77          1.43
15037.951  0.400000    103         1.67
15056.895  0.500000    129         2.00
15057.919  0.550000    142         2.22
15058.431  0.600000    155         2.50
15058.943  0.650000    168         2.86
15108.095  0.700000    181         3.33
15125.503  0.750000    194         4.00
15209.983  0.775000    200         4.44
15238.655  0.800000    206         5.00
15257.599  0.825000    213         5.71
16259.071  0.850000    219         6.67
17344.511  0.875000    226         8.00
17360.895  0.887500    229         8.89
17628.159  0.900000    232         10.00
18082.815  0.912500    235         11.43
18439.167  0.925000    239         13.33
18869.247  0.937500    242         16.00
18869.247  0.943750    243         17.78
18871.295  0.950000    245         20.00
18871.295  0.956250    247         22.86
18893.823  0.962500    248         26.67
19061.759  0.968750    250         32.00
19061.759  0.971875    251         35.56
19061.759  0.975000    252         40.00
19061.759  0.978125    252         45.71
19076.095  0.981250    253         53.33
19077.119  0.984375    254         64.00
19077.119  0.985938    254         71.11
19077.119  0.987500    255         80.00
19077.119  0.989062    255         91.42
19743.743  0.990625    256         106.67
19743.743  0.992188    256         128.01
19743.743  0.992969    256         142.23
19743.743  0.993750    256         160.00
19743.743  0.994531    257         182.85
19743.743  0.995313    257         213.36
19743.743  0.996094    257         256.02
19743.743  0.996484    257         284.41
19743.743  0.996875    257         320.00
19743.743  0.997266    257         365.76
19743.743  0.997656    257         426.62
19743.743  0.998047    257         512.03
19971.071  0.998242    258         568.83
19971.071  0.998437    258         639.80
19971.071  0.998633    258         731.53
19971.071  0.998828    258         853.24
19971.071  0.999023    258         1023.54
19971.071  0.999121    258         1137.66
19971.071  0.999219    258         1280.41
19971.071  0.999316    258         1461.99
19971.071  0.999414    258         1706.48
19971.071  0.999512    258         2049.18
19971.071  0.999561    258         2277.90
19971.071  0.999609    258         2557.54
19971.071  0.999658    258         2923.98
19971.071  0.999707    258         3412.97
19971.071  0.999756    258         4098.36
19971.071  0.999780    258         4545.45
19971.071  0.999805    258         5128.21
19971.071  0.999829    258         5847.95
19971.071  0.999854    258         6849.32
19971.071  0.999878    258         8196.72
19971.071  0.999890    258         9090.91
19971.071  0.999902    258         10204.08
19971.071  0.999915    258         11764.71
19971.071  0.999927    258         13698.63
19971.071  0.999939    258         16393.44
19971.071  0.999945    258         18181.82
19971.071  0.999951    258         20408.16
19971.071  0.999957    258         23255.81
19971.071  0.999963    258         27027.03
19971.071  0.999969    258         32258.06
19971.071  0.999973    258         37037.04
19971.071  0.999976    258         41666.67
19971.071  0.999979    258         47619.05
19971.071  0.999982    258         55555.56
19971.071  0.999985    258         66666.67
19971.071  0.999986    258         71428.57
19971.071  0.999988    258         83333.33
19971.071  0.999989    258         90909.09
19971.071  0.999991    258         111111.11
19971.071  0.999992    258         125000.00
19971.071  0.999993    258         142857.14
19971.071  0.999994    258         166666.67
19971.071  0.999995    258         200000.00
19971.071  0.999996    258         250000.00
19971.071  0.999997    258         333333.33
19971.071  0.999998    258         500000.00
19971.071  0.999999    258         1000000.00
19971.071  1.000000    258         10000000.00
