Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
3924.479   0.100000    99          1.11
3937.919   0.200000    198         1.25
3951.999   0.300000    296         1.43
3963.263   0.400000    395         1.67
3980.927   0.500000    494         2.00
3991.423   0.550000    543         2.22
4006.527   0.600000    593         2.50
4030.335   0.650000    642         2.86
4078.975   0.700000    692         3.33
4404.991   0.750000    741         4.00
9803.775   0.775000    766         4.44
9836.031   0.800000    790         5.00
9854.463   0.825000    815         5.71
9873.919   0.850000    840         6.67
9895.423   0.875000    865         8.00
9909.759   0.887500    877         8.89
9918.975   0.900000    889         10.00
9934.847   0.912500    902         11.43
9960.447   0.925000    914         13.33
9985.535   0.937500    926         16.00
10007.551  0.943750    932         17.78
10143.231  0.950000    939         20.00
10321.407  0.956250    945         22.86
12236.799  0.962500    951         26.67
15213.055  0.968750    957         32.00
15718.399  0.971875    960         35.56
15740.927  0.975000    963         40.00
15745.023  0.978125    966         45.71
15778.815  0.981250    969         53.33
15828.991  0.984375    973         64.00
15832.063  0.985938    974         71.11
15842.815  0.987500    976         80.00
15846.399  0.989062    977         91.42
15917.567  0.990625    979         106.67
15952.895  0.992188    980         128.01
15976.959  0.992969    981         142.23
16128.511  0.993750    982         160.00
16334.335  0.994531    983         182.85
16334.335  0.995313    983         213.36
16565.247  0.996094    984         256.02
16805.887  0.996484    985         284.41
16805.887  0.996875    985         320.00
16805.887  0.997266    985         365.76
17193.983  0.997656    986         426.62
17193.983  0.998047    986         512.03
17193.983  0.998242    986         568.83
17193.983  0.998437    986         639.80
18375.679  0.998633    987         731.53
18375.679  0.998828    987         853.24
18375.679  0.999023    987         1023.54
18375.679  0.999121    987         1137.66
18375.679  0.999219    987         1280.41
18375.679  0.999316    987         1461.99
18375.679  0.999414    987         1706.48
19024.895  0.999512    988         2049.18
19024.895  0.999561    988         2277.90
19024.895  0.999609    988         2557.54
19024.895  0.999658    988         2923.98
19024.895  0.999707    988         3412.97
19024.895  0.999756    988         4098.36
19024.895  0.999780    988         4545.45
19024.895  0.999805    988         5128.21
19024.895  0.999829    988         5847.95
19024.895  0.999854    988         6849.32
19024.895  0.999878    988         8196.72
19024.895  0.999890    988         9090.91
19024.895  0.999902    988         10204.08
19024.895  0.999915    988         11764.71
19024.895  0.999927    988         13698.63
19024.895  0.999939    988         16393.44
19024.895  0.999945    988         18181.82
19024.895  0.999951    988         20408.16
19024.895  0.999957    988         23255.81
19024.895  0.999963    988         27027.03
19024.895  0.999969    988         32258.06
19024.895  0.999973    988         37037.04
19024.895  0.999976    988         41666.67
19024.895  0.999979    988         47619.05
19024.895  0.999982    988         55555.56
19024.895  0.999985    988         66666.67
19024.895  0.999986    988         71428.57
19024.895  0.999988    988         83333.33
19024.895  0.999989    988         90909.09
19024.895  0.999991    988         111111.11
19024.895  0.999992    988         125000.00
19024.895  0.999993    988         142857.14
19024.895  0.999994    988         166666.67
19024.895  0.999995    988         200000.00
19024.895  0.999996    988         250000.00
19024.895  0.999997    988         333333.33
19024.895  0.999998    988         500000.00
19024.895  0.999999    988         1000000.00
19024.895  1.000000    988         10000000.00
