Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
84.603     0.100000    100         1.11
132.903    0.200000    200         1.25
154.207    0.300000    300         1.43
169.407    0.400000    400         1.67
177.703    0.500000    500         2.00
182.007    0.550000    550         2.22
194.807    0.600000    600         2.50
203.807    0.650000    650         2.86
206.903    0.700000    700         3.33
210.207    0.750000    750         4.00
220.207    0.775000    775         4.44
238.807    0.800000    800         5.00
247.903    0.825000    825         5.71
260.103    0.850000    850         6.67
271.311    0.875000    875         8.00
276.703    0.887500    888         8.89
293.007    0.900000    900         10.00
298.511    0.912500    913         11.43
305.007    0.925000    925         13.33
313.007    0.937500    938         16.00
322.303    0.943750    944         17.78
330.207    0.950000    950         20.00
334.207    0.956250    956         22.86
338.415    0.962500    963         26.67
339.007    0.968750    969         32.00
339.103    0.971875    972         35.56
339.215    0.975000    975         40.00
342.415    0.978125    978         45.71
355.407    0.981250    981         53.33
361.807    0.984375    984         64.00
363.807    0.985938    986         71.11
368.511    0.987500    988         80.00
368.815    0.989062    989         91.42
370.511    0.990625    991         106.67
370.607    0.992188    992         128.01
371.103    0.992969    993         142.23
371.215    0.993750    994         160.00
380.111    0.994531    995         182.85
380.111    0.995313    995         213.36
382.703    0.996094    996         256.02
382.703    0.996484    996         284.41
396.303    0.996875    997         320.00
396.303    0.997266    997         365.76
409.103    0.997656    998         426.62
409.103    0.998047    998         512.03
409.103    0.998242    998         568.83
409.103    0.998437    998         639.80
428.607    0.998633    999         731.53
428.607    0.998828    999         853.24
428.607    0.999023    999         1023.54
428.607    0.999121    999         1137.66
428.607    0.999219    999         1280.41
428.607    0.999316    999         1461.99
428.607    0.999414    999         1706.48
481.807    0.999512    1000        2049.18
481.807    0.999561    1000        2277.90
481.807    0.999609    1000        2557.54
481.807    0.999658    1000        2923.98
481.807    0.999707    1000        3412.97
481.807    0.999756    1000        4098.36
481.807    0.999780    1000        4545.45
481.807    0.999805    1000        5128.21
481.807    0.999829    1000        5847.95
481.807    0.999854    1000        6849.32
481.807    0.999878    1000        8196.72
481.807    0.999890    1000        9090.91
481.807    0.999902    1000        10204.08
481.807    0.999915    1000        11764.71
481.807    0.999927    1000        13698.63
481.807    0.999939    1000        16393.44
481.807    0.999945    1000        18181.82
481.807    0.999951    1000        20408.16
481.807    0.999957    1000        23255.81
481.807    0.999963    1000        27027.03
481.807    0.999969    1000        32258.06
481.807    0.999973    1000        37037.04
481.807    0.999976    1000        41666.67
481.807    0.999979    1000        47619.05
481.807    0.999982    1000        55555.56
481.807    0.999985    1000        66666.67
481.807    0.999986    1000        71428.57
481.807    0.999988    1000        83333.33
481.807    0.999989    1000        90909.09
481.807    0.999991    1000        111111.11
481.807    0.999992    1000        125000.00
481.807    0.999993    1000        142857.14
481.807    0.999994    1000        166666.67
481.807    0.999995    1000        200000.00
481.807    0.999996    1000        250000.00
481.807    0.999997    1000        333333.33
481.807    0.999998    1000        500000.00
481.807    0.999999    1000        1000000.00
481.807    1.000000    1000        10000000.00
